1x,1y,2x,2y
1,6,16,7
1,7,15,7
1,8,14,7
1,9,13,7
1,10,12,7
1,11,11,7
1,12,10,7
1,13,9,7
1,14,8,7
1,15,7,7
1,16,7,8
1,17,7,9
1,18,7,10
1,19,7,11
1,20,7,12
2,21,7,13
3,22,7,14
4,23,7,15
5,24,7,16
6,25,8,16
7,26,9,16
8,26,10,16
9,26,11,16
10,26,12,16
11,26,13,16
12,26,14,16
13,26,15,16
14,26,16,16
15,26,16,15
16,26,16,14
17,26,16,13
18,26,16,12
19,26,16,11
20,26,16,10
21,25,16,9
22,24,16,8
23,23,-1,-1
24,22,-1,-1
25,21,-1,-1
25,20,-1,-1
25,19,-1,-1
25,18,-1,-1
25,17,-1,-1
25,16,-1,-1
25,15,-1,-1
25,14,-1,-1
25,13,-1,-1
25,12,-1,-1
25,11,-1,-1
25,10,-1,-1
25,9,-1,-1
25,8,-1,-1
25,7,-1,-1
25,6,-1,-1
24,5,-1,-1
23,4,-1,-1
22,3,-1,-1
21,2,-1,-1
20,1,-1,-1
19,1,-1,-1
18,1,-1,-1
17,1,-1,-1
16,1,-1,-1
15,1,-1,-1
14,1,-1,-1
13,1,-1,-1
12,1,-1,-1
11,1,-1,-1
10,1,-1,-1
9,1,-1,-1
8,1,-1,-1
7,1,-1,-1
6,1,-1,-1
5,2,-1,-1
4,3,-1,-1
3,4,-1,-1
2,5,-1,-1
