1x,1y,2x,2y
17,5,11,9
16,5,12,9
15,5,13,9
14,5,14,9
13,5,15,9
12,5,16,9
11,5,17,9
10,5,18,10
9,5,19,11
8,6,20,12
7,7,20,13
6,8,20,14
5,9,20,15
4,10,20,16
3,11,19,17
3,12,18,18
3,13,17,19
3,14,16,20
3,15,15,20
3,16,14,20
3,17,13,20
3,18,12,20
3,19,11,20
4,20,10,19
5,21,9,18
6,22,8,17
7,23,7,16
8,24,7,15
9,24,7,14
10,24,7,13
11,24,7,12
12,24,8,11
13,24,9,10
14,24,10,9
15,24,-1,-1
16,24,-1,-1
17,24,-1,-1
18,24,-1,-1
19,24,-1,-1
20,24,-1,-1
21,23,-1,-1
22,22,-1,-1
23,21,-1,-1
24,20,-1,-1
24,19,-1,-1
24,18,-1,-1
24,17,-1,-1
24,16,-1,-1
24,15,-1,-1
24,14,-1,-1
24,13,-1,-1
24,12,-1,-1
24,11,-1,-1
24,10,-1,-1
23,9,-1,-1
22,8,-1,-1
21,7,-1,-1
20,6,-1,-1
19,5,-1,-1
18,5,-1,-1
