1x,1y,2x,2y
10,7,4,24
11,7,5,24
12,7,6,24
13,7,7,24
14,7,8,24
15,7,9,24
16,7,10,24
17,7,11,24
18,7,12,24
19,7,13,24
20,7,14,24
21,7,15,24
22,7,16,24
23,7,17,24
24,7,18,24
25,7,19,24
26,7,20,24
27,7,21,24
28,7,22,24
29,7,23,24
30,7,24,24
31,7,25,24
32,7,26,24
33,8,27,24
34,9,28,24
35,10,29,24
36,11,30,25
36,12,31,26
36,13,32,27
36,14,33,28
36,15,34,29
36,16,34,30
35,17,34,31
34,18,33,32
33,19,32,33
32,20,31,34
31,20,30,34
30,20,29,34
29,20,28,34
28,20,27,34
27,20,26,34
26,20,25,34
25,20,24,34
24,20,23,34
23,20,22,34
22,20,21,34
21,19,20,34
20,19,19,34
19,19,18,34
18,19,17,34
17,19,16,34
16,19,15,34
15,19,14,34
14,19,13,34
13,19,12,34
12,19,11,34
11,19,10,34
10,19,9,34
9,19,8,33
8,19,7,32
7,19,6,31
6,19,5,30
5,18,4,29
4,17,3,28
3,16,3,27
2,15,3,26
1,14,3,25
1,13,3,24
1,12,-1,-1
1,11,-1,-1
2,10,-1,-1
3,9,-1,-1
4,8,-1,-1
5,7,-1,-1
6,7,-1,-1
7,7,-1,-1
8,7,-1,-1
9,7,-1,-1
